bike_usage,hour,region,subzone
838,2023-01-12 10:00:00,lower_west_manhattan,NW
887,2023-01-12 11:00:00,lower_west_manhattan,NW
1021,2023-01-12 12:00:00,lower_west_manhattan,NW
1138,2023-01-12 13:00:00,lower_west_manhattan,NW
1298,2023-01-12 14:00:00,lower_west_manhattan,NW
1516,2023-01-12 15:00:00,lower_west_manhattan,NW
1747,2023-01-12 16:00:00,lower_west_manhattan,NW
2097,2023-01-12 17:00:00,lower_west_manhattan,NW
750,2023-01-12 18:00:00,lower_west_manhattan,NW
902,2023-01-12 19:00:00,lower_west_manhattan,NW
518,2023-01-12 20:00:00,lower_west_manhattan,NW
591,2023-01-12 21:00:00,lower_west_manhattan,NW
537,2023-01-12 22:00:00,lower_west_manhattan,NW
379,2023-01-12 23:00:00,lower_west_manhattan,NW
233,2023-01-13 00:00:00,lower_west_manhattan,NW
76,2023-01-13 01:00:00,lower_west_manhattan,NW
95,2023-01-13 02:00:00,lower_west_manhattan,NW
56,2023-01-13 03:00:00,lower_west_manhattan,NW
62,2023-01-13 04:00:00,lower_west_manhattan,NW
230,2023-01-13 05:00:00,lower_west_manhattan,NW
386,2023-01-13 06:00:00,lower_west_manhattan,NW
876,2023-01-13 07:00:00,lower_west_manhattan,NW
1556,2023-01-13 08:00:00,lower_west_manhattan,NW
1331,2023-01-13 09:00:00,lower_west_manhattan,NW
1040,2023-01-13 10:00:00,lower_west_manhattan,NW
1123,2023-01-13 11:00:00,lower_west_manhattan,NW
1315,2023-01-13 12:00:00,lower_west_manhattan,NW
1496,2023-01-13 13:00:00,lower_west_manhattan,NW
1715,2023-01-13 14:00:00,lower_west_manhattan,NW
1713,2023-01-13 15:00:00,lower_west_manhattan,NW
1883,2023-01-13 16:00:00,lower_west_manhattan,NW
1988,2023-01-13 17:00:00,lower_west_manhattan,NW
1756,2023-01-13 18:00:00,lower_west_manhattan,NW
1375,2023-01-13 19:00:00,lower_west_manhattan,NW
919,2023-01-13 20:00:00,lower_west_manhattan,NW
659,2023-01-13 21:00:00,lower_west_manhattan,NW
605,2023-01-13 22:00:00,lower_west_manhattan,NW
464,2023-01-13 23:00:00,lower_west_manhattan,NW
404,2023-01-14 00:00:00,lower_west_manhattan,NW
301,2023-01-14 01:00:00,lower_west_manhattan,NW
204,2023-01-14 02:00:00,lower_west_manhattan,NW
143,2023-01-14 03:00:00,lower_west_manhattan,NW
67,2023-01-14 04:00:00,lower_west_manhattan,NW
56,2023-01-14 05:00:00,lower_west_manhattan,NW
135,2023-01-14 06:00:00,lower_west_manhattan,NW
266,2023-01-14 07:00:00,lower_west_manhattan,NW
453,2023-01-14 08:00:00,lower_west_manhattan,NW
742,2023-01-14 09:00:00,lower_west_manhattan,NW
926,2023-01-14 10:00:00,lower_west_manhattan,NW
1104,2023-01-14 11:00:00,lower_west_manhattan,NW
1252,2023-01-14 12:00:00,lower_west_manhattan,NW
1266,2023-01-14 13:00:00,lower_west_manhattan,NW
1304,2023-01-14 14:00:00,lower_west_manhattan,NW
1290,2023-01-14 15:00:00,lower_west_manhattan,NW
1152,2023-01-14 16:00:00,lower_west_manhattan,NW
974,2023-01-14 17:00:00,lower_west_manhattan,NW
876,2023-01-14 18:00:00,lower_west_manhattan,NW
743,2023-01-14 19:00:00,lower_west_manhattan,NW
508,2023-01-14 20:00:00,lower_west_manhattan,NW
412,2023-01-14 21:00:00,lower_west_manhattan,NW
400,2023-01-14 22:00:00,lower_west_manhattan,NW
321,2023-01-14 23:00:00,lower_west_manhattan,NW
284,2023-01-15 00:00:00,lower_west_manhattan,NW
215,2023-01-15 01:00:00,lower_west_manhattan,NW
126,2023-01-15 02:00:00,lower_west_manhattan,NW
94,2023-01-15 03:00:00,lower_west_manhattan,NW
59,2023-01-15 04:00:00,lower_west_manhattan,NW
44,2023-01-15 05:00:00,lower_west_manhattan,NW
74,2023-01-15 06:00:00,lower_west_manhattan,NW
155,2023-01-15 07:00:00,lower_west_manhattan,NW
303,2023-01-15 08:00:00,lower_west_manhattan,NW
522,2023-01-15 09:00:00,lower_west_manhattan,NW
774,2023-01-15 10:00:00,lower_west_manhattan,NW
1007,2023-01-15 11:00:00,lower_west_manhattan,NW
1113,2023-01-15 12:00:00,lower_west_manhattan,NW
1273,2023-01-15 13:00:00,lower_west_manhattan,NW
1240,2023-01-15 14:00:00,lower_west_manhattan,NW
1278,2023-01-15 15:00:00,lower_west_manhattan,NW
1231,2023-01-15 16:00:00,lower_west_manhattan,NW
1050,2023-01-15 17:00:00,lower_west_manhattan,NW
883,2023-01-15 18:00:00,lower_west_manhattan,NW
740,2023-01-15 19:00:00,lower_west_manhattan,NW
556,2023-01-15 20:00:00,lower_west_manhattan,NW
444,2023-01-15 21:00:00,lower_west_manhattan,NW
403,2023-01-15 22:00:00,lower_west_manhattan,NW
289,2023-01-15 23:00:00,lower_west_manhattan,NW
201,2023-01-16 00:00:00,lower_west_manhattan,NW
125,2023-01-16 01:00:00,lower_west_manhattan,NW
74,2023-01-16 02:00:00,lower_west_manhattan,NW
33,2023-01-16 03:00:00,lower_west_manhattan,NW
46,2023-01-16 04:00:00,lower_west_manhattan,NW
103,2023-01-16 05:00:00,lower_west_manhattan,NW
236,2023-01-16 06:00:00,lower_west_manhattan,NW
343,2023-01-16 07:00:00,lower_west_manhattan,NW
521,2023-01-16 08:00:00,lower_west_manhattan,NW
694,2023-01-16 09:00:00,lower_west_manhattan,NW
795,2023-01-16 10:00:00,lower_west_manhattan,NW
1074,2023-01-16 11:00:00,lower_west_manhattan,NW
1226,2023-01-16 12:00:00,lower_west_manhattan,NW
1415,2023-01-16 13:00:00,lower_west_manhattan,NW
1558,2023-01-16 14:00:00,lower_west_manhattan,NW
1596,2023-01-16 15:00:00,lower_west_manhattan,NW
1694,2023-01-16 16:00:00,lower_west_manhattan,NW
1539,2023-01-16 17:00:00,lower_west_manhattan,NW
1317,2023-01-16 18:00:00,lower_west_manhattan,NW
996,2023-01-16 19:00:00,lower_west_manhattan,NW
745,2023-01-16 20:00:00,lower_west_manhattan,NW
