station_name,lat,lng
E 6 St & Avenue B,40.72478497,-73.982273579
E 6 St & Avenue D,40.722326279,-73.976558924
Washington Pl & Broadway,40.72903917,-73.99404649
Carroll St & Franklin Ave,40.667840481,-73.958763123
Wilkins Ave & Crotona Park E,40.835302,-73.895133
E 53 St & Madison Ave,40.759548306,-73.973831058
Emerson Pl & Myrtle Ave,40.693558574,-73.962168336
Goble Pl & Macombs Rd,40.844041228,-73.917167068
E 174 St & Longfellow Ave,40.836317539,-73.884461641
E 19 St & 3 Ave,40.73624527,-73.98473765
MacDougal St & Washington Sq,40.73226398,-73.99852205
7 Ave & 41 St,40.647379,-74.000911
5 Ave & E 87 St,40.78232260730881,-73.95987510681152
Henry St & Bay St,40.6725058,-74.00494695
40 St & Queens Blvd,40.743540273428685,-73.92435193061829
Harlem River Dr & W 155 St,40.830476,-73.939929
39 St & 50 Ave,40.738207459,-73.927499294
Lexington Ave & E 111 St,40.795177221,-73.944177032
Moffat St & Bushwick,40.68458,-73.90925
Amsterdam Ave & W 156 St,40.832008123,-73.942628384
E 155 St & Courtlandt Ave,40.820709944,-73.917430639
5 Ave & E 135 St,40.812191,-73.937838
E 106 St & Lexington Ave,40.791988373,-73.945916653
Riverside Dr & W 91 St,40.793064833,-73.977023721
2 Ave & E 96 St,40.7839636,-73.9471673
1 Ave & E 62 St,40.761164427,-73.960904837
49 Ave & 21 St,40.74252,-73.948852
Decatur St & Saratoga Ave,40.68332,-73.91711
Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504
Frederick Douglass Blvd & W 117 St,40.805143833,-73.954761744
2 Ave & E 99 St,40.786474586,-73.945435643
E 40 St & Park Ave,40.750756,-73.978326
Nevins St & Schermerhorn St,40.68737247650719,-73.98176059126854
Riverside Dr & W 72 St,40.78057799010334,-73.98562431335449
Lexington Ave & E 128 St,40.806542635,-73.935952663
Frederick Douglass Blvd & W 115 St,40.803911567,-73.955812931
Mercer St & Spring St,40.72362738,-73.99949601
46 St & 7 Ave,40.644763947,-74.003771424
Madison St & Clinton St,40.71269042,-73.98776323
Kingston Ave & Park Pl,40.67317152,-73.941943526
28 St & 41 Ave,40.751047,-73.93797
Albemarle Rd & McDonald Ave,40.645074,-73.979681
Wakeman Pl & Ridge Blvd,40.639375687,-74.026797771
E 76 St & Park Ave,40.773763,-73.96222088
River Ter & Warren St,40.717599,-74.01588
Herkimer St & New York Ave,40.679523706,-73.947209001
Humboldt St & Varet St,40.703110218,-73.940682411
Woodward Ave & Harman St,40.707977414,-73.910996199
30 Ave & 12 St,40.77171710520828,-73.93159255385399
Southern Blvd & E 142 St,40.807402968,-73.908029675
3 Ave & Franklin Ave,40.82696,-73.907451
33 St & Queens Blvd,40.7443653191867,-73.93172398209572
31 Ave & 34 St,40.763129234,-73.920861483
Carmine St & 6 Ave,40.73038599,-74.00214988
Prospect Park W & 20 St,40.656633,-73.983864
Edgecombe Ave & W 141 St,40.820625901,-73.945234418
W 204 St & Vermilyea Ave,40.866235971,-73.922778606
Walton Ave & E 168 St,40.83665359,-73.918256879
Henry St & Degraw St,40.6847514,-73.99917254
Jackson Ave & 46 Rd,40.745290995,-73.947255254
Willis Ave & E 143 St,40.812404871,-73.920294046
Halsey St & Ralph Ave,40.684914708,-73.922790527
W 36 St & 7 Ave,40.751930475,-73.989459157
Sterling Pl & Bedford Ave,40.672713399,-73.953940868
Schermerhorn St & Court St,40.691088676,-73.991980791
Grand Concourse & E 167 St,40.8342731,-73.91761148
MacDonough St & Malcolm X Blvd,40.68273,-73.92926
Waterloo Pl & Crotona Park East,40.839308023,-73.888552547
Lenox Ave & W 144 St,40.819877386,-73.936517358
W 190 St & St. Nicholas Ave,40.854788,-73.929513
W 144 St & Adam Clayton Powell Blvd,40.820862293,-73.939232469
24 Ave & 26 St,40.774734735,-73.918717027
Caton Ave & E 10 St,40.648481,-73.97058
Broadway & W 58 St,40.76695317,-73.98169333
E 81 St & York Ave,40.7728384,-73.94989233
E 56 St & Madison Ave,40.761630177,-73.97292614
E 77 St & 3 Ave,40.773328304,-73.95891118
Banker St & Meserole Ave,40.726066947,-73.956094623
Lenox Ave & W 115 St,40.801100254,-73.950146675
W 44 St & 11 Ave,40.762009,-73.996975
Lexington Ave & Classon Ave,40.686787248,-73.959186196
Carroll St & 6 Ave,40.6740886,-73.9787282
Bond St & Bergen St,40.6849668,-73.98620772
2 Ave & E 72 St,40.7687620293096,-73.95840793848038
John St & William St,40.708759308,-74.006148934
Bainbridge Ave & E 196 St,40.866465688,-73.890636921
E 149 St & Eagle Ave,40.814046,-73.91186
Cedar Ave & W Fordham Rd,40.861434102,-73.912345648
E 174 St & Walton Ave,40.844722748,-73.911962509
Westchester Ave & Jackson Ave,40.816030502,-73.908155918
Morris Ave & McClellan St,40.831635118,-73.914909244
5 Av & W 139 St,40.815484,-73.935856
Cauldwell Ave & E 161 St,40.82188,-73.907521
E 167 St & Clay Ave,40.830924153,-73.911231041
Buchanan Pl & Grand Ave,40.858573794,-73.906325459
Sheridan Ave & E 168 St,40.835289836,-73.915451169
MacDougal St & Rockaway Ave,40.680237889,-73.911631107
Putnam Ave & Knickerbocker Ave,40.69552505,-73.911713719
